"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
16.72084,143.3333333,14.71958333,13.45916667,0.40775,0.401,13.065,-0.469471562785891
16.517766,177.8333333,14.60708333,13.505,0.409666667,0.401291667,13.465,-0.453990499739547
16.503345,121.375,14.48,13.505,0.408666667,0.402,12.705,-0.438371146789078
16.398821,67.66666667,14.455,13.55083333,0.407458333,0.402,11.378,-0.4226182617407
16.440295,160.9166667,14.47166667,13.555,0.406041667,0.402,12.861,-0.4067366430758
16.426531,98.66666667,14.52375,13.5675,0.404291667,0.402,11.224,-0.390731128489274
16.447002,148.5,14.55708333,13.605,0.402541667,0.402,12.801,-0.374606593415912
16.502794,165.5416667,14.49875,13.605,0.4005,0.402,12.538,-0.358367949545301
16.347469,97.25,14.39458333,13.64875,0.398583333,0.402,12.042,-0.342020143325669
16.47547,102.625,14.37166667,13.655,0.397083333,0.402,12.045,-0.325568154457157
16.455178,132.9583333,14.47166667,13.65916667,0.395,0.402,12.118,-0.309016994374948
16.370154,95.79166667,14.505,13.705,0.393291667,0.402,11.01,-0.292371704722737
16.203459,85.83333333,14.49041667,13.705,0.393,0.402,11.041,-0.275637355816999
15.838561,167.4166667,14.27791667,13.70916667,0.393,0.401958333,11.46,-0.258819045102521
15.776374,107.4166667,14.03625,13.755,0.393666667,0.401,12.871,-0.241921895599668
15.697053,118.7916667,13.88833333,13.755,0.392833333,0.401,12.566,-0.224951054343865
15.643726,131.5,13.88833333,13.755,0.392041667,0.401,11.911,-0.20791169081776
15.611315,107,13.87375,13.755,0.3915,0.401,12.62,-0.190808995376545
15.535654,121.8333333,13.855,13.755,0.390625,0.401,11.286,-0.17364817766693
15.296162,147.4583333,13.78416667,13.755,0.39,0.401,11.229,-0.156434465040231
15.087365,157.7083333,13.5925,13.755,0.3905,0.401,12.442,-0.139173100960065
14.8494,80.83333333,13.17375,13.73208333,0.390041667,0.4,13.145,-0.104528463267653
14.751593,154.75,13.0925,13.705,0.391791667,0.4,13.525,-0.0871557427476582
14.702571,150.7916667,12.87791667,13.705,0.392375,0.4,12.911,-0.0697564737441256
14.503367,132.1666667,12.61958333,13.68416667,0.391666667,0.4,13.35,-0.0523359562429443
14.289503,55.54166667,12.51333333,13.655,0.391,0.4,13.685,-0.0348994967025016
13.965771,77.75,12.38,13.63208333,0.394583333,0.4,13.567,-0.0174524064372835
13.868166,117.375,12.305,13.605,0.397666667,0.4,12.313,-1.83697019872103e-16
13.841695,49.75,12.26958333,13.56541667,0.398,0.4,12.174,0.0174524064372831
